,Q1Income,Q1Foodaway,Q1Cereal,Q1Foodhome,Q2Income,Q2Foodaway,Q2Cereal,Q2Foodhome,Q3Income,Q3Foodaway,Q3Cereal,Q3Foodhome,Q4Income,Q4Foodaway,Q4Cereal,Q4Foodhome,Q5Income,Q5Foodaway,Q5Cereal,Q5Foodhome,Year,State
Year,13794.51,31.26,2.68,65.06,36185.64,45.89,1.08,72.62,65430.56,66.91,3.02,82.98,102189.57,92.4,3.03,87.27,205205.21,84.39,6.48,112.37,2017,Nebraska
Year,,,,,,,,,,,,,,,,,,,,,2017,Montana
Year,14867.12,24.12,1.34,30.82,35773.36,65.64,1.85,77.58,62910.23,45.0,3.3,74.32,103196.43,74.83,3.35,75.92,154387.38,40.19,4.27,102.77,2017,Missouri
Year,10655.96,7.13,2.64,55.52,37881.6,40.76,3.54,92.46,57496.69,43.59,14.49,92.14,91730.67,33.34,3.65,134.98,233230.8,514.9,0.0,26.92,2017,Mississippi
Year,13090.54,34.88,2.29,54.86,37144.79,51.46,2.7,66.98,62959.57,83.25,9.06,83.96,103498.77,79.11,4.34,115.51,205251.68,104.79,3.97,161.17,2017,Minnesota
Year,14224.2,40.42,3.38,68.97,37165.13,34.84,2.37,76.62,63994.01,49.14,3.03,76.63,100204.67,88.61,5.59,120.33,205432.16,97.47,9.45,159.54,2017,Michigan
Year,12248.15,40.16,2.49,64.34,32680.5,25.42,2.44,94.77,64460.03,70.75,7.3,128.04,106478.1,44.9,6.59,122.05,218282.31,113.08,3.96,122.93,2017,Massachuse
Year,12220.66,43.73,1.86,69.76,39241.67,54.8,2.56,70.79,64576.09,60.15,1.89,55.91,103939.41,180.84,3.14,97.91,234755.97,151.24,3.35,162.34,2017,Maryland
Year,,,,,,,,,,,,,,,,,,,,,2017,Maine
Year,13177.81,42.59,2.23,54.68,33968.68,24.42,4.34,65.66,60971.05,33.42,3.8,58.78,101155.68,37.84,3.96,113.69,233437.07,81.99,0.0,53.78,2017,Louisiana
Year,9609.41,41.04,3.65,91.8,36122.25,36.48,1.38,90.89,68338.82,62.46,4.09,81.27,96101.52,118.56,5.4,113.86,227245.4,214.82,8.21,186.8,2017,Kentucky
Year,15793.75,36.76,2.91,56.97,35579.48,48.57,2.79,95.05,66622.76,63.93,5.12,105.85,104131.38,73.92,6.73,140.81,209653.7,85.02,1.12,157.75,2017,Kansas
Year,19054.44,26.27,0.88,157.3,34358.0,98.16,1.9,147.03,70000.0,83.22,0.0,19.18,,,,,218117.4,86.94,0.0,10.64,2017,Iowa
Year,21192.8,20.98,1.26,26.19,33175.6,22.45,3.71,80.02,62576.2,138.42,1.51,94.06,96665.08,59.9,2.96,96.71,185750.0,62.54,1.84,72.14,2017,Indiana
Year,11766.45,43.7,2.12,58.81,37223.24,36.82,2.78,76.49,64745.6,73.36,3.21,110.05,95847.08,54.33,5.12,95.96,222096.56,119.05,9.04,191.06,2017,Illinois
Year,,,,,,,,,,,,,,,,,,,,,2017,Idaho
Year,13302.25,87.4,1.39,55.81,34687.95,94.26,4.97,163.79,59946.71,73.72,5.08,97.41,97211.47,75.01,3.91,98.94,280851.05,150.1,6.15,127.46,2017,Hawaii
Year,12758.72,22.37,1.36,27.64,33237.02,48.96,5.71,88.42,66093.18,65.55,3.85,112.96,103111.05,90.23,1.66,96.46,212838.27,104.62,1.53,94.13,2017,Georgia
Year,12255.17,33.48,2.36,57.51,35855.69,50.46,3.09,81.59,63511.9,57.15,4.41,113.4,100255.48,63.86,2.56,96.95,224272.25,113.24,3.72,127.6,2017,Florida
Year,9049.8,45.28,0.18,22.18,38008.2,69.51,7.58,55.12,72350.0,5.38,0.0,88.56,118408.0,44.96,17.41,118.0,245172.3,187.71,6.73,135.53,2017,District of Columbia
Year,16669.33,57.84,4.05,87.38,34000.0,27.66,0.0,7.39,68517.04,126.76,9.48,233.34,112837.5,172.47,4.34,130.88,233230.8,286.52,0.0,42.78,2017,Delaware
Year,12305.04,28.58,2.52,65.4,38557.0,82.49,3.23,86.05,66999.74,67.38,4.41,102.11,109803.7,93.23,4.2,134.23,206183.31,121.04,9.85,181.82,2017,Connecticut
Year,12996.6,27.52,0.93,59.35,33744.81,27.86,4.65,85.15,70037.02,58.36,8.54,82.78,100031.05,55.89,7.15,104.92,235936.72,125.44,5.76,207.79,2017,Colorado
Year,12146.41,50.28,4.34,95.47,37006.72,65.07,3.1,88.76,63620.75,71.57,3.33,97.67,103520.9,106.66,5.44,109.86,225033.86,127.01,6.02,123.81,2017,California
Year,,,,,,,,,,,,,,,,,,,,,2017,Arkansas
Year,10904.26,26.79,1.88,70.67,36925.2,57.52,4.0,90.59,66569.38,81.07,3.69,81.89,105239.72,66.31,5.36,108.29,188038.53,133.71,4.93,117.16,2017,Arizona
Year,9173.09,11.34,6.12,101.93,37743.87,42.48,4.98,117.56,68740.47,60.88,5.8,218.59,103388.72,45.95,4.71,96.24,248723.73,122.02,4.97,173.59,2017,Alaska
Year,12814.03,23.03,2.85,75.47,35401.24,32.15,2.95,65.67,63593.57,76.52,3.73,97.78,103782.15,95.41,5.52,151.2,173134.42,217.4,2.26,101.03,2017,Alabama
Year,11840.98,27.6,1.91,54.78,33952.95,36.43,4.11,87.78,64210.79,52.65,2.46,79.74,101543.07,130.93,2.2,78.02,174312.55,115.58,6.04,111.89,2016,Wisconsin
Year,11743.58,34.24,1.44,63.55,36127.17,49.27,1.92,87.95,61569.96,63.68,3.07,90.4,107832.05,137.92,7.21,200.62,205206.12,165.14,8.15,146.52,2016,Washington
Year,11313.03,25.65,2.2,66.31,34188.88,42.51,3.67,80.83,64267.54,67.75,2.21,74.19,101534.09,54.26,2.82,99.04,179394.37,175.93,4.21,148.71,2016,Virginia
Year,12655.98,29.44,3.47,68.06,34927.89,50.55,3.64,86.76,62614.85,37.29,5.38,99.77,97107.4,70.66,5.22,183.69,183782.56,238.9,10.84,184.14,2016,Utah
Year,11453.09,38.82,2.35,44.65,35973.28,48.06,1.99,67.85,61642.3,61.67,2.38,64.82,97373.26,104.02,4.91,109.71,191389.17,153.71,3.38,107.51,2016,Texas
Year,13892.38,23.78,1.28,32.73,36089.71,57.55,2.02,96.87,63355.15,64.53,6.08,105.76,89413.88,61.39,4.98,90.48,174836.53,127.53,3.89,166.82,2016,Tennessee
Year,,,,,,,,,,,,,,,,,,,,,2016,South Dakota
Year,12160.29,23.28,1.85,57.57,34292.14,41.03,3.49,70.44,62037.83,79.84,2.9,96.48,95631.04,91.17,6.44,129.81,187009.1,171.08,5.81,164.39,2016,South Carolina
Year,,,,,,,,,,,,,,,,,,,,,2016,Rhode Island
Year,11904.07,43.12,3.24,65.72,34980.14,50.42,2.93,75.53,61654.89,56.79,4.42,104.2,97606.13,57.7,4.71,134.23,213269.47,69.76,6.86,115.84,2016,Pennsylvania
Year,13378.59,41.23,1.86,32.91,37333.77,62.84,2.07,83.12,61449.12,54.39,1.76,93.53,95144.81,66.98,4.01,100.79,220314.72,180.67,4.02,135.36,2016,Oregon
Year,11214.72,29.48,2.23,50.3,35431.37,21.98,6.11,157.31,60287.3,55.63,0.59,45.69,107430.2,100.71,5.22,72.99,161590.98,139.01,6.74,173.56,2016,Oklahoma
Year,12401.11,24.96,2.49,48.0,35118.03,35.09,4.24,78.57,63030.22,67.08,5.18,103.63,102006.72,85.17,3.38,114.93,184982.66,93.29,6.67,135.88,2016,Ohio
Year,14213.38,26.67,3.6,76.22,34679.91,46.78,3.32,92.76,63595.33,59.57,3.5,79.98,101318.82,84.29,4.22,107.39,189697.33,99.36,5.95,129.54,2016,North Carolina
Year,12143.26,25.72,2.81,56.77,36098.55,42.9,4.58,78.87,60189.34,53.47,3.25,65.82,102022.95,69.72,8.51,111.3,204291.7,134.18,6.42,156.66,2016,New York
Year,13157.39,22.81,3.97,73.28,34823.29,51.13,2.9,59.35,60618.95,47.08,3.6,74.71,100475.43,69.93,6.21,104.13,199582.41,98.9,7.5,154.47,2016,New Jersey
Year,11747.4,22.09,1.54,47.26,30230.6,30.88,0.0,20.67,,,,,96549.0,47.56,0.0,31.85,202333.33,192.05,13.86,238.85,2016,New Hampshire
Year,6180.74,24.13,2.32,52.5,37019.01,44.01,16.76,84.89,64106.9,49.96,10.54,55.49,98718.16,101.31,6.28,117.76,152018.7,228.9,7.67,166.66,2016,Nevada
Year,13311.84,37.9,2.19,56.2,35763.73,65.42,3.87,79.11,59208.28,44.41,2.64,83.93,93373.87,114.8,7.72,117.58,180638.3,115.3,8.68,188.86,2016,Nebraska
Year,,,,,,,,,,,,,,,,,,,,,2016,Montana
Year,16475.5,32.59,0.89,42.65,37112.6,50.19,2.68,80.55,62728.57,35.17,1.5,71.58,101124.4,102.66,4.22,100.85,200424.06,133.06,4.8,158.67,2016,Missouri
Year,11692.85,32.52,1.04,47.31,34276.69,24.2,0.73,46.73,58976.17,42.85,2.36,36.26,92327.2,60.32,2.8,130.64,,,,,2016,Mississippi
Year,16051.56,49.46,0.0,24.14,34963.76,15.46,4.7,61.66,64808.43,122.19,1.68,76.93,99375.53,56.93,2.5,108.16,209703.64,104.59,10.14,140.22,2016,Minnesota
Year,11163.81,26.51,2.85,76.61,35097.52,39.28,3.9,91.9,62831.74,64.07,3.66,91.38,92848.3,34.69,2.42,61.76,187589.27,114.11,8.02,174.26,2016,Michigan
Year,10426.05,10.39,1.84,60.0,36609.71,26.1,4.07,86.89,65959.2,46.51,3.48,78.47,103203.89,76.8,4.5,101.54,183659.52,86.74,6.16,157.57,2016,Massachuse
Year,10607.13,35.54,1.5,62.22,37305.83,39.48,3.44,71.73,64989.43,97.95,5.85,116.98,101871.36,66.08,7.62,139.85,188660.66,108.96,4.98,134.36,2016,Maryland
Year,,,,,,,,,,,,,,,,,,,,,2016,Maine
Year,9291.35,35.08,2.72,47.93,35409.2,30.21,2.05,68.15,63370.3,27.99,4.56,85.98,97986.6,65.17,6.5,99.95,207834.25,80.23,5.89,110.85,2016,Louisiana
Year,11669.96,32.18,1.71,43.68,37568.05,69.92,5.7,106.69,63711.54,17.91,3.74,73.74,97833.16,50.78,3.63,86.45,141977.9,88.12,25.74,205.32,2016,Kentucky
Year,11626.65,59.1,2.02,76.36,35652.37,67.87,4.51,62.89,62868.73,98.17,5.84,98.41,105266.0,136.14,8.96,153.33,146253.68,132.56,13.08,197.12,2016,Kansas
Year,18217.33,56.15,5.09,34.37,36416.0,0.0,0.0,0.0,72968.0,13.21,7.22,124.92,90215.8,0.0,0.0,0.0,131132.8,61.75,0.0,11.54,2016,Iowa
Year,17733.67,23.22,0.38,125.55,43397.36,34.09,2.21,86.25,60315.78,84.84,0.89,103.02,99849.32,72.84,5.0,69.38,138647.0,100.84,0.0,78.92,2016,Indiana
Year,12562.34,28.87,2.53,70.09,34256.33,44.65,2.12,57.91,65508.78,79.05,5.5,117.53,102064.98,79.33,3.2,92.78,194638.73,138.49,4.38,156.03,2016,Illinois
Year,,,,,,,,,,,,,,,,,,,,,2016,Idaho
Year,12900.8,35.39,0.9,92.68,40079.27,106.15,3.07,50.07,64920.42,68.24,1.94,68.48,102072.83,129.78,9.23,226.29,163177.16,153.51,8.58,156.68,2016,Hawaii
Year,13704.81,33.24,2.95,65.42,35221.59,33.54,2.22,45.78,62739.38,36.31,2.49,56.84,96847.65,73.13,2.53,94.94,205144.55,93.0,3.84,90.71,2016,Georgia
Year,11735.87,26.47,2.72,63.59,35273.88,37.05,3.36,69.21,60863.04,59.41,4.26,85.16,97782.07,90.19,6.26,117.58,196583.7,144.12,5.19,122.14,2016,Florida
Year,6389.66,6.16,0.0,38.59,,,,,59140.2,0.0,6.6,80.88,85000.0,10.78,0.0,0.0,300000.0,76.02,0.0,196.58,2016,District of Columbia
Year,16737.73,113.17,0.0,76.73,28025.0,20.44,3.36,115.5,,,,,,,,,231231.3,236.27,9.08,193.08,2016,Delaware
Year,11551.36,51.16,4.46,110.26,34474.31,55.91,1.55,78.91,63225.84,62.84,8.16,96.8,100729.9,128.33,4.75,120.69,244641.95,173.58,6.39,176.67,2016,Connecticut
Year,11662.49,46.55,6.07,95.58,37416.5,61.72,3.03,53.01,62763.23,39.27,11.95,125.04,102677.45,81.91,2.6,111.46,184785.53,140.27,6.72,175.72,2016,Colorado
Year,11430.39,42.41,2.64,65.73,34819.35,56.54,3.95,85.92,60876.82,60.27,3.35,82.73,100367.83,94.37,4.16,108.42,205661.43,160.68,6.36,139.25,2016,California
Year,,,,,,,,,,,,,,,,,,,,,2016,Arkansas
Year,14089.31,29.08,2.39,56.09,36796.71,77.7,3.03,74.35,63039.96,74.45,3.84,90.31,104061.06,75.15,7.26,138.87,185313.28,111.75,9.51,184.59,2016,Arizona
Year,11941.09,22.33,3.11,64.36,36215.89,30.79,4.1,53.16,59969.87,46.64,8.68,180.05,100239.46,82.83,6.02,140.18,184757.56,52.85,2.51,112.66,2016,Alaska
Year,12272.38,25.88,1.78,49.05,34203.82,42.14,1.68,50.12,61850.7,62.46,2.9,88.22,104551.69,33.11,2.55,104.21,172314.34,119.57,3.9,105.26,2016,Alabama
Year,11964.21,29.14,2.97,59.16,35215.94,33.43,3.21,83.76,65219.12,78.79,3.3,82.38,97697.65,62.61,4.34,94.41,170514.84,139.77,7.76,121.14,2015,Wisconsin
Year,8932.91,26.57,2.28,48.3,36302.89,22.48,0.63,46.93,59084.68,76.28,1.76,63.37,102292.51,103.7,2.59,113.81,197411.66,108.66,6.95,196.17,2015,Washington
Year,10954.81,27.61,0.97,26.13,33314.82,29.86,3.25,74.69,61249.87,43.34,2.63,52.71,100011.66,88.48,8.18,116.44,200445.26,119.83,9.16,170.86,2015,Virginia
Year,13742.17,44.34,2.51,76.36,34962.7,54.75,2.05,68.6,62547.87,52.28,3.09,96.52,100586.31,88.01,4.87,109.32,202652.11,109.48,9.85,202.57,2015,Utah
Year,11376.24,35.33,2.93,74.4,36436.03,45.96,1.99,66.83,61044.1,73.81,2.81,69.15,96723.71,104.71,3.49,104.42,197538.44,172.73,4.37,133.12,2015,Texas
Year,9901.5,20.72,1.87,66.93,34194.83,46.12,3.06,101.99,60855.18,32.35,3.01,81.8,97497.08,84.47,4.38,84.43,194185.4,227.16,7.04,88.08,2015,Tennessee
Year,,,,,,,,,,,,,,,,,,,,,2015,South Dakota
Year,10863.62,24.45,2.39,60.18,33738.74,52.65,3.74,93.33,58528.04,69.94,1.55,48.89,94999.06,105.93,2.27,80.22,208057.68,52.72,1.46,73.37,2015,South Carolina
Year,,,,,,,,,,,,,,,,,,,,,2015,Rhode Island
Year,10608.57,25.13,1.91,46.44,33494.85,40.02,2.79,69.95,64652.24,54.96,3.45,90.33,100175.59,92.36,3.84,105.06,187741.25,93.36,5.43,110.97,2015,Pennsylvania
Year,12567.5,34.31,1.74,47.3,33728.67,52.07,5.87,82.47,63644.37,72.42,7.6,149.2,96798.41,80.18,10.73,160.5,205609.22,98.33,4.08,140.92,2015,Oregon
Year,10711.12,31.81,0.53,46.02,36211.23,67.98,2.78,81.88,57962.13,51.9,0.0,30.6,98464.4,105.41,0.98,61.69,192774.73,116.91,5.53,81.95,2015,Oklahoma
Year,11508.1,33.67,2.78,72.24,35701.4,36.52,2.73,77.92,59007.76,41.95,4.31,67.21,100124.79,92.25,8.19,137.82,189743.19,123.25,3.57,129.12,2015,Ohio
Year,11667.71,27.56,2.6,63.32,35167.11,46.98,3.91,95.25,60979.99,62.7,3.78,88.09,98864.82,91.16,5.01,132.03,204693.25,163.47,5.67,198.04,2015,North Carolina
Year,10399.65,18.81,2.63,45.86,36127.61,37.65,5.44,78.22,61761.31,32.72,2.69,73.83,97191.74,102.86,6.41,129.22,190635.4,106.36,6.76,125.08,2015,New York
Year,12594.26,32.52,3.85,67.58,35388.48,42.96,4.63,88.92,60483.37,63.27,4.53,80.2,96111.9,62.07,6.42,127.98,207048.78,92.88,3.33,95.05,2015,New Jersey
Year,15487.7,0.0,0.0,0.0,39300.0,0.0,3.91,102.95,61562.8,24.52,6.46,235.7,107500.0,41.91,10.59,128.28,,,,,2015,New Hampshire
Year,12847.64,38.6,3.11,62.27,35352.55,32.79,3.27,73.48,57542.42,75.88,3.56,63.44,99484.84,69.17,3.21,75.96,212400.4,123.32,10.26,168.52,2015,Nevada
Year,10816.51,45.03,1.52,64.02,33929.76,48.54,1.83,62.52,63771.4,48.25,1.99,66.67,96248.17,59.84,8.67,115.7,195267.55,232.78,8.08,237.24,2015,Nebraska
Year,,,,,,,,,,,,,,,,,,,,,2015,Montana
Year,13565.26,22.58,2.33,46.69,32381.78,29.7,1.61,51.68,60805.5,63.38,5.29,69.23,92500.16,82.35,1.76,49.83,194265.73,146.58,6.97,178.03,2015,Missouri
Year,11156.64,31.9,2.08,58.92,37684.51,33.98,2.27,54.2,57619.67,72.56,2.52,18.42,101807.67,33.18,1.22,42.32,191882.8,15.4,0.0,46.38,2015,Mississippi
Year,13546.63,22.24,3.18,42.44,33082.41,86.16,6.17,178.33,62548.12,72.49,4.17,72.19,99691.56,69.15,4.51,92.76,172297.72,149.56,2.63,110.77,2015,Minnesota
Year,12116.21,19.75,3.28,53.07,36393.18,43.66,2.95,88.13,61008.6,69.37,3.98,103.59,98200.61,100.69,5.25,109.57,184971.58,143.78,9.59,172.88,2015,Michigan
Year,8587.99,26.23,4.53,64.08,34407.42,46.63,3.02,52.71,62245.84,71.16,3.13,81.87,99266.06,65.11,7.97,134.74,183145.09,87.48,5.55,135.68,2015,Massachuse
Year,9496.04,27.47,1.42,43.87,37243.24,24.88,1.36,35.75,62823.15,55.21,5.22,75.31,102735.73,63.55,5.19,105.97,207757.58,67.3,5.55,128.56,2015,Maryland
Year,,,,,,,,,,,,,,,,,,,,,2015,Maine
Year,10650.1,34.66,1.57,32.16,37470.07,29.82,4.36,80.63,59023.25,68.94,3.42,80.08,94697.0,61.96,1.99,95.8,173297.89,138.34,5.51,130.3,2015,Louisiana
Year,11125.63,13.19,2.54,64.26,35124.28,55.17,1.42,50.12,59379.49,40.91,4.58,119.6,95184.78,113.52,4.71,125.78,200844.68,167.36,6.42,138.23,2015,Kentucky
Year,11776.22,49.86,5.23,65.12,32589.48,26.7,2.48,85.9,59049.67,49.08,1.59,73.19,93955.57,82.98,2.68,116.43,230283.8,67.46,4.24,88.38,2015,Kansas
Year,18277.27,12.79,8.81,150.49,32334.33,1.28,2.96,75.12,,,,,,,,,,,,,2015,Iowa
Year,12444.34,5.67,1.35,34.8,41276.96,63.35,0.93,56.21,64550.0,78.24,4.93,125.05,104541.95,64.12,7.02,108.3,174349.4,94.16,6.58,233.76,2015,Indiana
Year,14493.08,34.9,2.67,58.41,35925.31,58.83,3.92,77.83,62924.83,60.77,2.84,85.57,100566.2,44.72,3.79,109.92,194081.01,98.6,5.49,161.65,2015,Illinois
Year,,,,,,,,,,,,,,,,,,,,,2015,Idaho
Year,14876.65,57.02,2.78,66.45,39449.39,79.25,0.89,47.98,58154.41,79.1,6.66,111.37,101812.38,114.83,11.8,176.65,195573.97,94.05,6.25,160.04,2015,Hawaii
Year,13078.93,22.59,2.53,53.73,36755.84,39.71,5.04,69.42,63465.51,32.63,2.4,60.17,104063.22,66.49,3.64,76.11,164721.08,66.3,8.52,129.82,2015,Georgia
Year,10460.44,37.71,2.95,66.48,33153.4,38.91,3.63,82.03,60487.03,63.64,4.24,88.42,96670.22,74.62,6.11,136.15,179734.84,105.87,7.2,147.86,2015,Florida
Year,9643.3,80.98,0.96,9.48,26692.6,0.0,0.0,36.63,63000.0,71.5,0.0,5.81,83130.2,180.04,5.77,76.76,191175.5,129.98,0.0,0.0,2015,District of Columbia
Year,15546.67,29.98,8.88,123.51,,,,,59873.9,17.86,1.64,42.94,110000.0,111.38,3.26,52.7,192000.0,172.29,17.18,165.44,2015,Delaware
Year,13972.04,23.34,3.14,37.87,34771.34,71.6,2.22,93.06,62811.38,93.5,9.13,133.7,102394.97,77.77,5.7,88.82,174966.89,171.67,6.06,167.59,2015,Connecticut
Year,11957.38,39.75,6.06,70.47,37452.89,66.73,3.87,60.75,63183.31,50.61,4.32,76.09,91201.73,68.21,2.79,80.24,179569.65,81.81,5.01,131.56,2015,Colorado
Year,10731.73,32.7,2.7,64.64,35172.3,41.94,3.88,81.7,61299.79,66.22,4.54,83.8,100753.7,96.28,4.1,104.34,197929.9,171.69,5.32,154.97,2015,California
Year,,,,,,,,,,,,,,,,,,,,,2015,Arkansas
Year,13083.06,32.34,2.69,68.33,33959.81,34.62,2.82,60.03,63479.77,67.48,6.57,97.38,96127.06,50.61,5.72,117.99,209389.56,121.78,3.68,160.7,2015,Arizona
Year,11890.61,50.74,0.81,73.54,34504.42,38.57,2.66,80.91,57580.8,33.14,2.93,141.79,93820.8,87.94,5.47,104.03,202744.58,131.2,7.49,227.25,2015,Alaska
Year,12791.23,19.25,2.4,74.56,34418.76,36.9,3.58,79.14,64426.11,55.5,3.75,119.67,96306.28,71.1,4.18,91.42,173980.44,97.74,1.51,139.36,2015,Alabama
Year,11013.6,29.12,2.08,68.0,35173.1,24.45,2.26,77.34,59765.74,56.04,3.82,74.8,101122.91,93.21,5.72,122.61,191979.04,160.28,5.52,107.78,2014,Wisconsin
Year,9284.22,39.87,3.77,50.37,34970.8,38.16,4.03,82.53,66734.04,73.31,6.39,126.71,99909.98,97.86,2.6,92.86,176200.4,96.19,7.1,178.14,2014,Washington
Year,12586.24,24.38,1.7,36.34,36950.24,34.9,4.5,77.84,59990.57,54.96,2.24,64.94,98094.2,80.03,4.87,91.05,214411.29,94.95,5.3,122.44,2014,Virginia
Year,10514.83,22.95,2.99,36.96,34371.2,43.75,4.6,92.63,60517.04,44.79,8.46,100.49,89375.59,33.24,7.02,104.23,147427.5,104.6,0.0,52.7,2014,Utah
Year,11516.84,38.75,2.8,70.3,35147.11,58.76,3.49,88.77,61719.23,63.38,3.07,65.42,97557.93,119.7,4.35,111.21,196622.17,134.38,5.06,146.45,2014,Texas
Year,14559.26,29.81,2.7,53.21,34765.38,32.61,3.21,67.46,61291.22,58.1,1.54,50.72,108732.47,77.42,7.26,134.41,178857.1,99.33,2.9,56.0,2014,Tennessee
Year,,,,,,,,,,,,,,,,,,,,,2014,South Dakota
Year,12700.04,18.87,2.65,49.63,36167.97,64.17,2.89,75.43,61584.16,65.69,4.76,81.18,99075.12,86.4,5.04,117.75,213774.81,82.73,5.86,122.55,2014,South Carolina
Year,,,,,,,,,,,,,,,,,,,,,2014,Rhode Island
Year,11931.01,24.0,2.57,64.49,35369.41,53.17,3.77,78.53,61064.44,48.56,3.64,82.74,99954.58,66.54,2.88,96.14,199328.95,118.83,6.02,118.37,2014,Pennsylvania
Year,10266.62,36.75,3.19,72.69,35895.72,37.97,4.27,112.66,63285.6,71.79,1.23,66.54,96290.14,73.91,4.0,118.65,210962.89,115.75,13.36,153.47,2014,Oregon
Year,,,,,,,,,,,,,,,,,,,,,2014,Oklahoma
Year,11263.37,33.24,1.89,59.99,34833.52,38.29,3.75,87.26,62138.89,45.49,3.02,55.71,99299.18,88.72,7.48,135.92,183618.39,109.0,4.56,114.57,2014,Ohio
Year,,,,,,,,,,,,,,,,,,,,,2014,North Carolina
Year,10626.21,25.7,3.07,55.5,35876.71,42.31,4.06,74.8,61999.39,39.02,5.02,67.85,98712.92,84.57,6.75,116.83,203510.83,89.59,5.76,110.27,2014,New York
Year,14029.77,32.38,1.72,53.85,35523.68,49.68,2.97,83.97,62929.49,51.7,3.73,74.78,99942.51,59.53,5.51,113.69,220588.75,86.41,6.92,130.59,2014,New Jersey
Year,9216.78,34.87,3.53,82.3,33048.52,31.5,4.64,75.02,63436.5,87.06,3.77,130.0,114621.1,13.47,8.65,110.69,165000.0,80.44,1.92,86.45,2014,New Hampshire
Year,12235.46,30.84,1.6,40.98,32781.06,33.46,3.27,90.8,60699.11,22.75,4.79,109.59,98504.0,54.06,2.23,97.76,269599.07,49.47,5.46,113.54,2014,Nevada
Year,13126.49,26.62,2.03,65.28,35794.24,70.97,6.48,89.54,62309.85,53.56,5.92,136.08,98244.9,81.49,2.9,95.2,167122.6,70.08,5.96,108.61,2014,Nebraska
Year,,,,,,,,,,,,,,,,,,,,,2014,Montana
Year,9430.83,29.97,2.01,56.53,35782.34,40.36,2.42,91.41,62390.33,49.24,3.31,77.21,98263.73,102.41,1.78,86.92,192638.86,135.22,4.5,119.25,2014,Missouri
Year,,,,,,,,,,,,,,,,,,,,,2014,Mississippi
Year,10880.68,39.24,2.42,49.35,33717.33,39.99,0.93,65.0,58968.97,60.11,2.25,77.96,96670.66,73.32,7.67,148.51,177557.06,67.48,11.11,135.05,2014,Minnesota
Year,11618.18,22.76,3.25,77.43,34932.6,25.94,2.19,59.43,59930.23,44.11,4.09,82.52,97073.86,56.18,3.6,101.66,203357.66,67.77,6.49,125.56,2014,Michigan
Year,12008.66,15.75,3.43,63.87,36046.65,49.8,3.03,71.0,59211.64,40.46,3.36,64.29,103633.16,67.41,6.61,155.78,177433.71,128.99,6.42,134.84,2014,Massachuse
Year,12157.94,28.63,4.34,70.54,33319.0,58.1,3.08,67.77,59015.8,43.3,3.92,80.46,98354.72,63.5,7.33,135.61,181544.17,83.58,7.81,166.68,2014,Maryland
Year,8956.97,26.43,2.56,52.83,31488.44,63.78,4.07,79.02,61178.97,54.05,9.64,115.71,98510.26,91.05,1.99,67.59,198743.3,125.44,11.67,153.68,2014,Maine
Year,11216.69,23.02,2.91,59.86,33916.52,18.07,1.28,52.21,63922.32,34.47,1.94,57.26,99902.88,51.11,3.4,100.67,198489.28,126.72,5.89,154.1,2014,Louisiana
Year,12810.65,25.92,2.74,67.42,33057.64,32.65,2.16,51.5,59015.34,51.53,5.08,111.02,92445.7,146.11,3.7,147.21,207864.57,140.96,10.39,94.24,2014,Kentucky
Year,10218.83,83.44,4.0,84.47,34187.48,48.79,2.56,96.27,59662.11,99.54,5.11,51.92,114437.5,11.48,0.0,46.43,233828.87,112.02,0.0,48.2,2014,Kansas
Year,,,,,,,,,,,,,,,,,,,,,2014,Iowa
Year,12540.15,16.93,6.41,97.68,36608.22,22.43,4.25,68.88,62541.05,38.9,6.92,100.65,99930.44,84.76,2.44,59.94,158649.37,137.57,6.37,51.42,2014,Indiana
Year,12624.03,30.08,3.6,75.63,35244.03,47.7,3.35,75.86,62040.39,58.83,3.27,104.5,99403.07,70.1,5.63,130.05,218621.82,136.34,7.24,161.97,2014,Illinois
Year,11706.93,30.3,5.29,87.69,34035.46,43.45,2.0,62.89,57521.37,42.41,6.75,113.87,99172.18,79.75,2.81,55.66,220491.22,185.92,8.53,241.6,2014,Idaho
Year,15454.83,34.2,3.05,118.4,37628.59,68.98,10.3,109.18,58544.02,80.81,3.68,114.22,104241.45,146.08,9.1,170.59,188993.76,179.39,7.19,138.99,2014,Hawaii
Year,10282.84,16.91,2.52,59.99,34962.24,61.2,3.18,83.81,62732.12,46.87,3.36,61.99,96166.93,63.45,3.33,67.09,201004.57,77.98,6.13,114.16,2014,Georgia
Year,12576.6,26.3,3.6,67.66,34979.85,50.25,4.17,80.05,61355.65,43.27,3.15,81.05,97756.32,73.71,6.41,135.55,188485.86,99.05,6.34,126.31,2014,Florida
Year,6503.3,118.36,3.68,66.11,37000.0,57.3,7.22,221.7,73250.0,78.21,1.52,29.85,,,,,188097.32,198.78,11.14,202.11,2014,District of Columbia
Year,13422.53,31.43,2.44,53.93,38666.13,27.37,1.24,65.18,58162.67,40.79,5.73,108.76,124253.2,248.32,3.53,143.04,274245.6,13.38,0.0,20.72,2014,Delaware
Year,10035.1,18.01,3.41,78.21,33598.81,17.97,3.73,118.09,57683.4,37.3,4.59,121.43,95286.07,92.61,8.38,144.57,188221.8,82.59,6.34,173.1,2014,Connecticut
